NRG Systems SymphoniePRO Desktop Application
Software Version:	3.16.0.24 (build built by CI server 2024-03-14)
2025-07-25 02:30:00	0.636875	0.432990	0.350000	1.880000	1.627550	0.000000	27.680000	33.300000	16.080000	25.687087	0.003414	25.680260	25.697328	78.967285	0.210571	78.523254	79.603577	1010.275043	0.018606	1010.200620	1010.368073	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.597018	0.008309	0.565167	0.617790	0.653333	0.004616	0.639485	0.661180	49141.629410	29.715271	49015.339508	49223.346405	1066.474091	0.000000	1052.801346	1080.146835	1130.006882	0.000000	1122.621216	1159.549545
2025-07-25 02:32:00	0.528245	0.380970	0.350000	1.880000	1.627550	0.000000	353.130000	31.680000	37.100000	25.666605	0.006827	25.656364	25.683673	78.894043	0.292969	78.147888	79.293823	1010.293649	0.037212	1010.182014	1010.423890	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.603942	0.012463	0.573938	0.645024	0.652871	0.004616	0.639023	0.664873	49134.200592	29.715271	49037.625961	49230.775223	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1144.778214
2025-07-25 02:34:00	1.197620	0.625770	0.350000	3.410000	2.645000	0.000000	27.750000	26.190000	53.010000	25.646123	0.003414	25.635882	25.659778	78.076172	0.437927	77.230835	78.892517	1010.293649	0.018606	1010.219226	1010.386679	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.584555	0.012463	0.541164	0.615482	0.650563	0.006462	0.639023	0.664411	49134.200592	29.715271	49045.054779	49215.917587	1066.474091	0.000000	1052.801346	1086.983208	1130.006882	0.000000	1115.235550	1152.163879
2025-07-25 02:36:00	0.458630	0.285345	0.350000	1.880000	1.367450	0.000000	35.850000	33.890000	325.870000	25.629055	0.003414	25.622227	25.639296	79.304504	0.468445	78.350830	79.801941	1010.237832	0.018606	1010.163408	1010.312255	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.595633	0.010617	0.564244	0.628868	0.652410	0.005539	0.637177	0.666258	49141.629410	29.715271	49015.339508	49215.917587	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1130.006882	1144.778214
2025-07-25 02:38:00	0.477755	0.286110	0.350000	1.115000	1.115000	0.000000	32.230000	23.080000	14.870000	25.615400	0.003414	25.608573	25.625641	79.518127	0.288391	78.813171	79.809570	1010.200620	0.018606	1010.126196	1010.293649	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.600711	0.009232	0.571630	0.622406	0.650102	0.006462	0.634869	0.663488	49134.200592	29.715271	49015.339508	49201.059952	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1144.778214
2025-07-25 02:40:00	0.719495	0.552330	0.350000	2.645000	2.132450	0.000000	68.630000	41.590000	28.610000	25.605159	0.003414	25.594918	25.615400	79.458618	0.416565	78.446960	79.888916	1010.200620	0.018606	1010.126196	1010.312255	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.595633	0.007847	0.573938	0.620098	0.646409	0.006462	0.633484	0.663950	49126.771774	37.144089	49015.339508	49238.204041	1066.474091	0.000000	1052.801346	1086.983208	1130.006882	0.000000	1122.621216	1144.778214
2025-07-25 02:42:00	0.783755	0.576045	0.350000	2.645000	2.645000	0.000000	7.740000	28.250000	15.900000	25.594918	0.000000	25.591504	25.601745	79.202271	0.564575	78.242493	79.911804	1010.200620	0.037212	1010.088985	1010.275043	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.599787	0.008309	0.576707	0.615943	0.659334	0.003693	0.650102	0.668566	49126.771774	29.715271	49045.054779	49223.346405	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1130.006882	1152.163879
2025-07-25 02:44:00	0.776870	0.494190	0.350000	1.880000	1.627550	0.000000	25.070000	20.560000	23.610000	25.601745	0.000000	25.594918	25.611986	78.852844	0.393677	78.025818	79.391479	1010.182014	0.018606	1010.107591	1010.275043	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.603942	0.007386	0.577631	0.629791	0.657487	0.008770	0.633023	0.672259	49119.342957	37.144089	49000.481873	49201.059952	1066.474091	0.000000	1052.801346	1086.983208	1130.006882	0.000000	1115.235550	1144.778214
2025-07-25 02:46:00	0.649880	0.478890	0.350000	1.880000	1.627550	0.000000	52.270000	50.140000	42.000000	25.598332	0.003414	25.591504	25.608573	79.098511	0.325012	78.440857	79.602051	1010.182014	0.037212	1010.070379	1010.275043	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.601172	0.011540	0.565167	0.624252	0.655179	0.006001	0.640870	0.668566	49126.771774	29.715271	48993.053055	49215.917587	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 02:48:00	0.847250	0.624240	0.350000	2.645000	1.880000	0.000000	19.170000	40.670000	5.840000	25.577850	0.006827	25.557368	25.594918	79.319763	0.367737	78.610229	80.084229	1010.144802	0.037212	1010.070379	1010.256438	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.593787	0.011540	0.558705	0.616867	0.651025	0.006001	0.635792	0.666258	49126.771774	29.715271	49022.768326	49223.346405	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 02:50:00	0.489995	0.343485	0.350000	1.880000	1.627550	0.000000	52.130000	41.310000	74.670000	25.550540	0.003414	25.543713	25.564195	79.443359	0.155640	78.915405	79.699707	1010.126196	0.018606	1010.051773	1010.219226	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.600249	0.009232	0.571168	0.625175	0.644101	0.007847	0.627483	0.664873	49126.771774	37.144089	49015.339508	49215.917587	1066.474091	0.000000	1059.637718	1080.146835	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 02:52:00	0.554255	0.440640	0.350000	1.880000	1.880000	0.000000	35.680000	23.710000	16.180000	25.536886	0.003414	25.526645	25.547127	78.971863	0.416565	78.057861	79.492188	1010.126196	0.037212	1010.051773	1010.256438	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.592402	0.008770	0.564706	0.613635	0.646409	0.005078	0.636715	0.660719	49134.200592	29.715271	49052.483597	49208.488770	1066.474091	0.000000	1059.637718	1080.146835	1130.006882	0.000000	1130.006882	1152.163879
2025-07-25 02:54:00	0.841130	0.567630	0.350000	2.645000	2.132450	0.000000	56.690000	50.300000	2.070000	25.523231	0.003414	25.512990	25.533472	79.301453	0.395203	78.648376	80.384827	1010.107591	0.037212	1010.014561	1010.200620	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.599787	0.008309	0.568399	0.620098	0.647332	0.006924	0.628407	0.661642	49126.771774	37.144089	49022.768326	49230.775223	1066.474091	0.000000	1052.801346	1086.983208	1130.006882	0.000000	1115.235550	1152.163879
2025-07-25 02:56:00	0.770750	0.442170	0.350000	1.880000	1.627550	0.000000	30.280000	17.850000	349.460000	25.509576	0.000000	25.506163	25.523231	78.892517	0.396729	78.337097	79.981995	1010.088985	0.037212	1009.995955	1010.182014	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.595633	0.008309	0.570707	0.618713	0.652410	0.006001	0.636254	0.663950	49126.771774	29.715271	49022.768326	49201.059952	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 02:58:00	0.489995	0.313650	0.350000	1.880000	1.367450	0.000000	33.880000	17.180000	17.480000	25.512990	0.000000	25.506163	25.519817	79.046631	0.360107	78.436279	79.606628	1010.051773	0.037212	1009.977349	1010.163408	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.590555	0.017079	0.453460	0.613635	0.657487	0.003693	0.650102	0.666258	49126.771774	29.715271	49015.339508	49238.204041	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1115.235550	1144.778214
2025-07-25 03:00:00	0.451745	0.260865	0.350000	1.115000	1.115000	0.000000	49.480000	31.260000	119.390000	25.509576	0.000000	25.506163	25.519817	80.091858	0.303650	79.525757	80.595398	1010.051773	0.037212	1009.977349	1010.163408	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.592402	0.011078	0.559628	0.621483	0.648717	0.004154	0.639023	0.661642	49134.200592	29.715271	49030.197144	49208.488770	1066.474091	0.000000	1052.801346	1086.983208	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 03:02:00	0.369125	0.120105	0.350000	1.115000	0.862550	0.000000	19.110000	42.490000	2.850000	25.502749	0.003414	25.495922	25.512990	80.241394	0.068665	80.128479	80.410767	1010.014561	0.037212	1009.940138	1010.126196	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.596095	0.007386	0.567937	0.615020	0.655179	0.004154	0.641793	0.663950	49134.200592	29.715271	49030.197144	49230.775223	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 03:04:00	0.611630	0.501075	0.350000	2.645000	2.132450	0.000000	31.530000	44.500000	21.160000	25.489094	0.003414	25.482267	25.502749	79.977417	0.228882	79.425049	80.297852	1010.014561	0.018606	1009.940138	1010.107591	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.601172	0.008309	0.575784	0.616867	0.653795	0.006001	0.639947	0.666719	49126.771774	37.144089	49015.339508	49230.775223	1066.474091	0.000000	1052.801346	1093.819580	1130.006882	0.000000	1115.235550	1152.163879
2025-07-25 03:06:00	0.649880	0.457470	0.350000	1.880000	1.880000	0.000000	39.960000	53.060000	15.220000	25.478853	0.003414	25.472026	25.489094	79.847717	0.337219	78.932190	80.218506	1010.014561	0.018606	1009.940138	1010.144802	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.606250	0.010155	0.579477	0.630715	0.659795	0.006001	0.646409	0.671335	49126.771774	29.715271	49037.625961	49223.346405	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 03:08:00	0.503000	0.338130	0.350000	1.880000	1.367450	0.000000	35.500000	20.080000	14.760000	25.472026	0.000000	25.468612	25.482267	79.257202	0.292969	78.521729	79.803467	1010.014561	0.018606	1009.958743	1010.126196	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.597018	0.011078	0.569322	0.631176	0.650563	0.006001	0.636254	0.663950	49134.200592	29.715271	49030.197144	49238.204041	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 03:10:00	1.300130	0.686970	0.350000	2.645000	2.645000	0.000000	18.510000	15.180000	17.660000	25.478853	0.003414	25.472026	25.489094	78.671265	0.575256	77.320862	79.602051	1010.014561	0.037212	1009.940138	1010.144802	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.591479	0.010617	0.557320	0.612712	0.645024	0.006001	0.627483	0.655641	49126.771774	37.144089	49000.481873	49230.775223	1066.474091	0.000000	1045.964973	1086.983208	1130.006882	0.000000	1115.235550	1144.778214
2025-07-25 03:12:00	0.630755	0.504900	0.350000	2.645000	2.132450	0.000000	33.980000	19.270000	19.230000	25.485681	0.000000	25.482267	25.492508	78.814697	0.541687	77.433777	79.602051	1009.977349	0.018606	1009.884320	1010.051773	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.591940	0.009232	0.562398	0.610404	0.653333	0.004154	0.642255	0.662103	49119.342957	29.715271	49007.910690	49208.488770	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1144.778214
2025-07-25 03:14:00	0.783755	0.558450	0.350000	1.880000	1.880000	0.000000	21.630000	17.100000	28.270000	25.482267	0.003414	25.472026	25.492508	79.081726	0.296021	78.511047	79.695129	1009.958743	0.018606	1009.884320	1010.033167	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.597941	0.012925	0.569783	0.621944	0.644101	0.006462	0.630715	0.662565	49119.342957	37.144089	49015.339508	49208.488770	1066.474091	0.000000	1052.801346	1080.146835	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 03:16:00	0.948995	0.571455	0.350000	1.880000	1.880000	0.000000	18.820000	14.590000	5.040000	25.461785	0.006827	25.451544	25.475440	78.373718	0.433350	77.543640	79.205322	1009.940138	0.018606	1009.847108	1010.051773	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.596556	0.009232	0.566091	0.612712	0.658411	0.006462	0.640870	0.670412	49119.342957	29.715271	49030.197144	49215.917587	1066.474091	0.000000	1059.637718	1080.146835	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 03:18:00	0.847250	0.511785	0.350000	1.880000	1.880000	0.000000	29.430000	27.450000	7.060000	25.444717	0.003414	25.437889	25.454958	79.241943	0.277710	78.623962	79.713440	1009.902926	0.018606	1009.828502	1010.014561	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.596095	0.014310	0.471001	0.615482	0.655179	0.005078	0.645024	0.667181	49119.342957	22.286453	49045.054779	49186.202316	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1144.778214
2025-07-25 03:20:00	0.483875	0.308295	0.350000	1.880000	1.367450	0.000000	22.670000	23.780000	23.010000	25.437889	0.000000	25.431062	25.444717	79.101563	0.193787	78.747559	79.609680	1009.884320	0.037212	1009.754079	1009.977349	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.596095	0.009232	0.565167	0.629791	0.650563	0.007847	0.631638	0.665335	49126.771774	29.715271	49015.339508	49230.775223	1066.474091	0.000000	1052.801346	1080.146835	1130.006882	0.000000	1122.621216	1144.778214
2025-07-25 03:22:00	0.573380	0.362610	0.350000	1.880000	1.367450	0.000000	26.460000	19.240000	11.880000	25.424235	0.003414	25.413994	25.434476	79.193115	0.370789	78.340149	79.699707	1009.847108	0.018606	1009.735473	1009.958743	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.603019	0.009694	0.573938	0.625175	0.654718	0.005078	0.644563	0.667643	49126.771774	29.715271	49045.054779	49230.775223	1066.474091	0.000000	1059.637718	1080.146835	1130.006882	0.000000	1122.621216	1144.778214
2025-07-25 03:24:00	0.885500	0.624240	0.350000	2.645000	2.132450	0.000000	18.130000	19.620000	359.290000	25.410580	0.003414	25.400339	25.417407	79.641724	0.479126	78.346252	80.212402	1009.809896	0.018606	1009.716867	1009.902926	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.597018	0.009694	0.562398	0.618713	0.655179	0.006462	0.636715	0.666258	49126.771774	37.144089	49015.339508	49208.488770	1066.474091	0.000000	1052.801346	1086.983208	1130.006882	0.000000	1115.235550	1152.163879
2025-07-25 03:26:00	0.841130	0.483480	0.350000	1.880000	1.627550	0.000000	23.480000	21.870000	27.300000	25.400339	0.003414	25.393512	25.410580	78.901672	0.358582	78.330994	79.505920	1009.791291	0.018606	1009.735473	1009.902926	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.603942	0.008770	0.577169	0.622867	0.655641	0.007386	0.639023	0.672259	49119.342957	22.286453	49000.481873	49178.773499	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 03:28:00	0.675125	0.502605	0.350000	1.880000	1.880000	0.000000	34.710000	31.830000	4.000000	25.390098	0.003414	25.383271	25.400339	79.510498	0.344849	78.910828	80.111694	1009.809896	0.018606	1009.716867	1009.921532	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.600249	0.008309	0.574399	0.622406	0.654718	0.005539	0.641793	0.668566	49119.342957	29.715271	49022.768326	49208.488770	1066.474091	0.000000	1059.637718	1080.146835	1130.006882	0.000000	1122.621216	1144.778214
2025-07-25 03:30:00	0.560375	0.396270	0.350000	1.880000	1.627550	0.000000	24.260000	28.040000	14.950000	25.379857	0.003414	25.369616	25.390098	79.544067	0.347900	78.825378	80.107117	1009.809896	0.037212	1009.735473	1009.921532	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.591017	0.011540	0.553166	0.613174	0.646409	0.010155	0.622406	0.671797	49126.771774	37.144089	48993.053055	49201.059952	1066.474091	0.000000	1052.801346	1086.983208	1130.006882	0.000000	1115.235550	1144.778214
2025-07-25 03:32:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	37.070000	29.500000	180.000000	25.373030	0.000000	25.369616	25.379857	80.110168	0.238037	79.417419	80.416870	1009.828502	0.018606	1009.754079	1009.921532	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.597941	0.032312	0.259588	0.617328	0.656564	0.003231	0.649179	0.665335	49134.200592	29.715271	49045.054779	49230.775223	1066.474091	0.000000	1059.637718	1080.146835	1130.006882	0.000000	1122.621216	1144.778214
2025-07-25 03:34:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	33.020000	28.420000	180.000000	25.366202	0.003414	25.355961	25.376443	80.119324	0.158691	79.824829	80.410767	1009.828502	0.037212	1009.735473	1009.940138	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.600711	0.008309	0.571168	0.625175	0.648255	0.008309	0.625637	0.661180	49134.200592	37.144089	49030.197144	49223.346405	1066.474091	0.000000	1052.801346	1080.146835	1130.006882	0.000000	1115.235550	1144.778214
2025-07-25 03:36:00	0.516005	0.399330	0.350000	1.880000	1.880000	0.000000	43.010000	27.590000	30.280000	25.352548	0.003414	25.342307	25.362789	80.340576	0.199890	79.925537	80.731201	1009.865714	0.018606	1009.791291	1009.958743	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.590094	0.013386	0.548088	0.621483	0.650102	0.005078	0.639485	0.663488	49134.200592	22.286453	49052.483597	49208.488770	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 03:38:00	1.407995	0.824670	0.350000	3.410000	2.897450	0.000000	17.270000	14.710000	4.870000	25.338893	0.003414	25.332066	25.349134	78.758240	0.944519	77.427673	80.305481	1009.865714	0.037212	1009.698261	1009.958743	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.598864	0.010155	0.562859	0.619636	0.650563	0.006001	0.633946	0.663027	49126.771774	29.715271	49022.768326	49230.775223	1066.474091	0.000000	1059.637718	1080.146835	1130.006882	0.000000	1122.621216	1144.778214
2025-07-25 03:40:00	0.630755	0.464355	0.350000	2.645000	2.132450	0.000000	33.340000	24.210000	19.930000	25.325238	0.003414	25.318411	25.335479	79.447937	0.563049	78.234863	80.113220	1009.847108	0.018606	1009.772685	1009.958743	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.591940	0.009232	0.563783	0.612712	0.651487	0.006924	0.632099	0.663488	49126.771774	37.144089	49007.910690	49223.346405	1066.474091	0.000000	1052.801346	1086.983208	1130.006882	0.000000	1122.621216	1152.163879
2025-07-25 03:42:00	0.541250	0.347310	0.350000	1.880000	1.367450	0.000000	34.810000	72.990000	340.940000	25.314997	0.003414	25.304756	25.328652	80.322266	0.148010	79.934692	80.519104	1009.847108	0.018606	1009.772685	1009.940138	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.588709	0.007847	0.560090	0.607173	0.659334	0.003231	0.651025	0.667181	49134.200592	29.715271	49059.912415	49223.346405	1066.474091	0.000000	1059.637718	1086.983208	1130.006882	0.000000	1122.621216	1152.163879
